유의한_변수
Current_diff_max
Current_diff_mean
Current_diff_mean_diff1
Current_diff_min
Current_diff_min_max_range
Current_diff_std
Current_ma6_mean
Current_ma6_mean_diff1
Current_ma6_min
Current_ma6_min_max_range
Current_ma6_std
Current_mean
Current_mean_diff1
Current_min
Current_min_max_range
Current_std
Current_std6_max
Current_std6_mean
Current_std6_mean_diff1
Current_std6_min
Current_std6_min_max_range
Current_std6_std
Power_diff_max
Power_diff_mean
Power_diff_mean_diff1
Power_diff_min
Power_diff_min_max_range
Power_diff_std
Power_ma6_max
Power_ma6_mean
Power_ma6_mean_diff1
Power_ma6_min
Power_ma6_min_max_range
Power_ma6_std
Power_max
Power_mean
Power_mean_diff1
Power_min
Power_min_max_range
Power_std
Power_std6_max
Power_std6_mean
Power_std6_mean_diff1
Power_std6_min
Power_std6_min_max_range
Power_std6_std
Resistance_diff_max
Resistance_diff_mean
Resistance_diff_mean_diff1
Resistance_diff_min
Resistance_diff_min_max_range
Resistance_diff_std
Resistance_ma6_max
Resistance_ma6_mean
Resistance_ma6_mean_diff1
Resistance_ma6_min
Resistance_ma6_min_max_range
Resistance_ma6_std
Resistance_max
Resistance_mean
Resistance_mean_diff1
Resistance_min
Resistance_min_max_range
Resistance_std
Resistance_std6_max
Resistance_std6_mean
Resistance_std6_mean_diff1
Resistance_std6_min
Resistance_std6_min_max_range
Resistance_std6_std
Temp_diff_max
Temp_diff_mean
Temp_diff_mean_diff1
Temp_diff_min
Temp_diff_min_max_range
Temp_diff_std
Temp_ma6_max
Temp_ma6_mean
Temp_ma6_min
Temp_ma6_min_max_range
Temp_ma6_std
Temp_max
Temp_mean
Temp_mean_diff1
Temp_min
Temp_min_max_range
Temp_std
Temp_std6_max
Temp_std6_mean
Temp_std6_mean_diff1
Temp_std6_min
Temp_std6_min_max_range
Temp_std6_std
Voltage_diff_max
Voltage_diff_mean
Voltage_diff_mean_diff1
Voltage_diff_min
Voltage_diff_min_max_range
Voltage_diff_std
Voltage_ma6_max
Voltage_ma6_min
Voltage_ma6_min_max_range
Voltage_ma6_std
Voltage_max
Voltage_mean_diff1
Voltage_min
Voltage_min_max_range
Voltage_std
Voltage_std6_max
Voltage_std6_mean
Voltage_std6_mean_diff1
Voltage_std6_min
Voltage_std6_min_max_range
Voltage_std6_std
pH_diff_max
pH_diff_mean
pH_diff_mean_diff1
pH_diff_min
pH_diff_min_max_range
pH_diff_std
pH_ma6_max
pH_ma6_mean
pH_ma6_mean_diff1
pH_ma6_min
pH_ma6_min_max_range
pH_ma6_std
pH_max
pH_mean
pH_mean_diff1
pH_min
pH_min_max_range
pH_std
pH_std6_max
pH_std6_mean
pH_std6_mean_diff1
pH_std6_min
pH_std6_min_max_range
pH_std6_std
