클러스터,변수,임계값,정상 평균,표준편차,Z-score (임계값 위치),ClusterLabel
0,pH_std6,0.5436739578333221,0.462,0.172,0.476,1
0,Resistance_std6,0.23298822187573984,0.206,0.094,0.288,1
1,Resistance_ma6,1.1083359080226043,1.082,0.086,0.306,2
2,pH_std6,0.5370469834405666,0.471,0.202,0.328,3
2,Power_std6,3.049354750677761,2.786,0.907,0.29,3
