PC1,PC2,Lot,Date,Cluster
2.6422490439098487,1.560497161764064,2,2021-09-07,2
-1.1601651249274783,-2.3319706460940295,8,2021-09-09,0
-1.1215048178227263,-0.8742837623738047,22,2021-09-13,0
1.9773359300487827,0.3477758622057236,3,2021-09-16,2
-1.4999218163464985,-1.7142748293498675,16,2021-09-17,0
-2.577354216522768,2.546309692685145,8,2021-09-28,1
0.2676769846200677,-0.1444766621185923,13,2021-09-30,2
-1.4615311530906012,2.6945049180164244,18,2021-10-05,1
1.3201632407197028,0.9931763426806297,19,2021-10-08,2
-1.6719143117794537,-1.036383383756053,10,2021-10-13,0
2.865094899854785,-1.458472420761107,3,2021-10-14,2
-0.21640152665682258,-1.1454466196047761,10,2021-10-22,0
0.6362728679931586,0.5630443467062435,16,2021-10-25,2
